# piece|material|texture|tris  (material choice review)
Wall_Plaster_Straight|MI_Plaster|T_Plaster_BaseColor|86
Wall_Plaster_Straight_L|MI_Plaster|T_Plaster_BaseColor|72
Wall_Plaster_Straight_R|MI_Plaster|T_Plaster_BaseColor|72
Wall_Plaster_Straight_Base|MI_Plaster|T_Plaster_BaseColor|64
Wall_Plaster_Door_Flat|MI_Plaster|T_Plaster_BaseColor|92
Wall_Plaster_Window_Wide_Flat|MI_Plaster|T_Plaster_BaseColor|96
Wall_Plaster_Window_Thin_Round|MI_Plaster|T_Plaster_BaseColor|166
Wall_Plaster_WoodGrid|MI_Plaster|T_Plaster_BaseColor|248
Wall_Arch|MI_WoodTrim|T_WoodTrim_BaseColor|196
Wall_BottomCover|MI_WoodTrim|T_WoodTrim_BaseColor|36
Wall_UnevenBrick_Straight|MI_UnevenBrick|T_UnevenBrick_BaseColor|56
Wall_UnevenBrick_Door_Flat|MI_UnevenBrick|T_UnevenBrick_BaseColor|74
Wall_UnevenBrick_Window_Wide_Flat|MI_UnevenBrick|T_UnevenBrick_BaseColor|88
Corner_Exterior_Brick|MI_RockTrim|T_RockTrim_BaseColor|3102
Corner_Exterior_Wood|MI_WoodTrim|T_WoodTrim_BaseColor|12
Corner_ExteriorWide_Brick|MI_RockTrim|T_RockTrim_BaseColor|2882
Corner_Interior_Big|MI_WoodTrim|T_WoodTrim_BaseColor|24
Corner_Interior_Small|MI_WoodTrim|T_WoodTrim_BaseColor|12
Floor_WoodDark|MI_WoodTrim|T_WoodTrim_BaseColor|32
Floor_Brick|MI_Brick|T_Brick_BaseColor|4
Floor_RedBrick|MI_RedBrick|T_RedBrick_BaseColor|4
Floor_UnevenBrick|MI_UnevenBrick|T_UnevenBrick_BaseColor|4
Floor_WoodLight|MI_WoodTrim|T_WoodTrim_BaseColor|32
Roof_RoundTiles_4x4|MI_RoundTiles|T_RoundTiles_BaseColor|1996
Roof_RoundTiles_6x6|MI_RoundTiles|T_RoundTiles_BaseColor|3244
Roof_RoundTiles_8x8|MI_RoundTiles|T_RoundTiles_BaseColor|3888
Roof_RoundTiles_4x6|MI_RoundTiles|T_RoundTiles_BaseColor|2520
Roof_Wooden_2x1|MI_WoodTrim_Wear|T_WoodTrim_BaseColor|224
Roof_2x4_RoundTile|MI_RoundTiles|T_RoundTiles_BaseColor|1112
Roof_Front_Brick4|MI_WoodTrim|T_WoodTrim_BaseColor|252
Roof_Front_Brick6|MI_WoodTrim|T_WoodTrim_BaseColor|328
Roof_Tower_RoundTiles|MI_RoundTiles|T_RoundTiles_BaseColor|4024
Roof_Dormer_RoundTile|MI_WoodTrim|T_WoodTrim_BaseColor|904
Overhang_Roof_Plaster|MI_Plaster|T_Plaster_BaseColor|38
Overhang_Roof_UnevenBricks|MI_UnevenBrick|T_UnevenBrick_BaseColor|38
Overhang_Plaster_Long|MI_Plaster|T_Plaster_BaseColor|204
Overhang_Plaster_Corner|MI_Plaster|T_Plaster_BaseColor|440
Overhang_Side_Plaster_Long_L|MI_Plaster|T_Plaster_BaseColor|314
Overhang_Side_Plaster_Long_R|MI_Plaster|T_Plaster_BaseColor|314
Door_1_Flat|MI_WoodTrim|T_WoodTrim_BaseColor|314
Door_2_Flat|MI_WoodTrim|T_WoodTrim_BaseColor|6032
Door_4_Flat|MI_WoodTrim|T_WoodTrim_BaseColor|1044
Door_1_Round|MI_WoodTrim|T_WoodTrim_BaseColor|470
DoorFrame_Flat_WoodDark|MI_WoodTrim|T_WoodTrim_BaseColor|56
DoorFrame_Round_WoodDark|MI_WoodTrim|T_WoodTrim_BaseColor|320
Window_Wide_Flat1|MI_WoodTrim|T_WoodTrim_BaseColor|160
Window_Thin_Flat1|MI_WoodTrim|T_WoodTrim_BaseColor|112
Window_Wide_Round1|MI_WoodTrim_Wear|T_WoodTrim_BaseColor|354
WindowShutters_Wide_Flat_Open|MI_WoodTrim_Wear|T_WoodTrim_BaseColor|120
WindowShutters_Thin_Flat_Open|MI_WoodTrim_Wear|T_WoodTrim_BaseColor|96
Balcony_Simple_Straight|MI_WoodTrim|T_WoodTrim_BaseColor|1120
Balcony_Cross_Straight|MI_WoodTrim|T_WoodTrim_BaseColor|132
